feature,mean_importance
random_feature,1.3593979688999524e-07
Weight_Status,2.4215266163607967e-05
Height(Remainder_Inches),2.760888685822819e-05
Height(Feet),6.819539687480234e-05
Body_Temperature(F),0.0055334215113463535
Weight(lb),0.008430492647248093
Gender,0.024967692040969523
Age,0.06551833028606635
BPM,0.25142869380300725
Exercise_Duration,0.8250379294584981
