feature,mean_importance
random_feature,-5.666498937064818e-06
Height(Remainder_Inches),5.30703622259767e-06
Height(Feet),2.163668640579417e-05
Weight_Status,2.678656416186555e-05
Body_Temperature(F),0.0037296355273091384
Weight(lb),0.008645621366026266
Gender,0.02247945965888106
Age,0.06315312382065266
BPM,0.26247534024072283
Exercise_Duration,0.8738810353980309
