feature,mean_importance
random_feature,-1.6898584638037092e-06
Height(Remainder_Inches),1.9053782050070287e-05
Weight_Status,2.380238763878704e-05
Height(Feet),8.245992343595534e-05
Body_Temperature(F),0.004042006379152098
Weight(lb),0.007271721134063226
Gender,0.02348406037466305
Age,0.06472924262832391
BPM,0.25867827245710906
Exercise_Duration,0.9252153312695699
