feature,mean_importance
random_feature,-1.9731389012123234e-06
Height(Remainder_Inches),1.3575183566249838e-05
Weight_Status,1.9714729241481313e-05
Height(Feet),5.316195173549108e-05
Body_Temperature(F),0.006800499511539737
Weight(lb),0.00712850913571445
Gender,0.020851949183389906
Age,0.0622957888623437
BPM,0.2369336631730244
Exercise_Duration,0.8281653361898528
