feature,mean_importance
random_feature,-1.2342429093804039e-06
Height(Remainder_Inches),1.2717117493612335e-05
Weight_Status,1.8007167436181906e-05
Height(Feet),5.142427825440925e-05
Body_Temperature(F),0.006844534217223951
Weight(lb),0.007458025353847294
Gender,0.023044334573396184
Age,0.059335032646212836
BPM,0.2712638486018296
Exercise_Duration,0.928290994251214
