feature,mean_importance
random_feature,7.950059926356415e-07
Weight_Status,2.596386633141399e-06
Height(Remainder_Inches),1.0269897165562334e-05
Height(Feet),4.400390786043073e-05
Body_Temperature(F),0.004652122347591297
Weight(lb),0.008174244094128473
Gender,0.021228968238609314
Age,0.05837188450777443
BPM,0.27910419437355755
Exercise_Duration,0.8712201160934727
