Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
0.9594554995181004,0.8712201160934727,0.8738810353980309,0.8947262712559707,0.8250379294584981,0.8609347382741299,0.928290994251214,0.9522951212238816,0.8281653361898528,0.92521533126957,0
0.2658268340642302,0.2791041943735575,0.2624753402407228,0.2508096808273983,0.2514286938030072,0.2701744534966243,0.2712638486018296,0.2675698648186221,0.2369336631730244,0.258678272457109,0
0.0623137306016767,0.0583718845077744,0.0631531238206526,0.0505898390078657,0.0655183302860663,0.0543559831689655,0.0593350326462128,0.0689850175444628,0.0622957888623437,0.0647292426283239,0
0.0228014801204079,0.0212289682386093,0.022479459658881,0.022073943261904,0.0249676920409695,0.0236788602702139,0.0230443345733961,0.0236979689208952,0.0208519491833899,0.023484060374663,0
0.0074610223911866,0.0081742440941284,0.0086456213660262,0.0071930240955875,0.008430492647248,0.0081498228389153,0.0074580253538472,0.0081505760953943,0.0071285091357144,0.0072717211340632,0
0.0062294780612858,0.0046521223475912,0.0037296355273091,0.0052887020470203,0.0055334215113463,0.0106137386024089,0.0068445342172239,0.0039012704452772,0.0068004995115397,0.004042006379152,0
0.000117246311927,4.400390786043073e-05,2.163668640579417e-05,8.23352360406719e-05,6.819539687480234e-05,2.481697244451248e-05,5.142427825440925e-05,2.3797828450870685e-05,5.316195173549108e-05,8.245992343595534e-05,0
1.4430216090845435e-05,2.596386633141399e-06,2.678656416186555e-05,4.5455599967778256e-05,2.4215266163607967e-05,2.807764507853466e-05,1.8007167436181906e-05,2.1097748535514413e-05,1.9714729241481316e-05,2.380238763878704e-05,0
2.6361672874273166e-05,1.0269897165562334e-05,5.30703622259767e-06,2.73879899078893e-06,2.760888685822819e-05,2.9625649647043924e-06,1.2717117493612337e-05,2.58560109544324e-07,1.3575183566249838e-05,1.9053782050070287e-05,1
-6.580826163690627e-06,7.950059926356415e-07,-5.666498937064818e-06,-1.9739882893412847e-06,1.3593979688999524e-07,-2.61170145649638e-06,-1.234242909380404e-06,2.496918757202395e-07,-1.9731389012123234e-06,-1.6898584638037092e-06,10
