,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5,0,410,0.2942382335662842,0.0015939956318884205,0.016297101974487305,0.0013451577078066384,12,200,"{'max_depth': 12, 'n_estimators': 200}",0.975609756097561,0.975609756097561,0.9012345679012346,0.9382716049382716,0.9506172839506173,0.9482685937970491,0.02761425007322851,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,410,0.15763778686523439,0.003420445401595658,0.008455753326416016,0.006807703018239511,12,100,"{'max_depth': 12, 'n_estimators': 100}",0.9634146341463414,0.9390243902439024,0.9135802469135802,0.9629629629629629,0.9506172839506173,0.9459199036434809,0.01850404469588502,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,410,0.1424311637878418,0.002931725218194053,0.015623855590820312,6.641573084442195e-07,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9878048780487805,0.9634146341463414,0.8888888888888888,0.9382716049382716,0.9506172839506173,0.9457994579945799,0.03284339397596144,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,410,0.2933804512023926,0.011525354577366177,0.02015542984008789,0.009585662077787972,10,200,"{'max_depth': 10, 'n_estimators': 200}",1.0,0.9634146341463414,0.8888888888888888,0.9259259259259259,0.9506172839506173,0.9457693465823548,0.03716172829891874,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,410,0.2922562599182129,0.012686354309825626,0.017709016799926758,0.0026091030031416868,6,200,"{'max_depth': 6, 'n_estimators': 200}",0.975609756097561,0.9634146341463414,0.8888888888888888,0.9259259259259259,0.9506172839506173,0.940891297801867,0.030774923951878887,5,1.0,1.0,1.0,0.9969512195121951,1.0,0.999390243902439,0.0012195121951219523
0,0,410,0.16323938369750976,0.020667169524482453,0.008646678924560548,0.007183200884901237,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.926829268292683,0.975609756097561,0.9012345679012346,0.9259259259259259,0.9506172839506173,0.9360433604336043,0.025206399683717705,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
